2020-04-15 20:01:59,182: custodian.cache:DEBUG Disabling cache
2020-04-15 20:01:59,183: custodian.commands:DEBUG Loaded file /home/custodian/ebs-snap-policy.yml. Contains 1 policies
2020-04-15 20:01:59,198: custodian.aws:DEBUG using default region:us-west-1 from boto
2020-04-15 20:01:59,546: custodian.reports:DEBUG Found 1083 records for region us-west-1
2020-04-15 20:01:59,547: custodian.reports:DEBUG Uniqued from 1083 to 1083
SnapshotId,VolumeId,tag:InstanceId,VolumeSize,StartTime,State
snap-0c1e57f52d9214623,vol-0c6e40578f7933657,,250,2018-10-25T20:00:37+00:00,completed
snap-0925fd9cf1259c6de,vol-0b615dd3ae8169944,,150,2018-10-25T09:59:45+00:00,completed
snap-0f77881626858e1b2,vol-01bf4351fbc0ea942,,250,2018-10-25T06:19:16+00:00,completed
snap-08decfa92b6d64f41,vol-06f973a2d0946145b,,40,2018-10-25T04:11:48+00:00,completed
snap-026727348652496d0,vol-0c7bf0f4e2f6863bb,,40,2018-10-24T21:35:28+00:00,completed
snap-0c429038eed847a00,vol-0088665649d8db10f,,20,2018-10-24T20:00:37+00:00,completed
snap-0743101c48f3b27a1,vol-0c6e40578f7933657,,250,2018-10-24T20:00:37+00:00,completed
snap-085b25cea9ffdd21e,vol-0b615dd3ae8169944,,150,2018-10-24T09:59:44+00:00,completed
snap-089b09129d626e89b,vol-01bf4351fbc0ea942,,250,2018-10-24T06:19:16+00:00,completed
snap-0773b4b2a7d2cdd56,vol-06f973a2d0946145b,,40,2018-10-24T04:11:48+00:00,completed
